objectid,title,displaydate,medium
52446,"Madison Square, Snow",1904,oil on canvas
52448,Antique Subject,,pen and brown ink with brown wash over graphite
52495,Reclining Nude,,lithograph
52911,Abstraction II,1922,linocut
53100,Stretch of Black III,1961,oil on canvas
53122,"Montagne Sainte-Victoire, from near Gardanne",c. 1887,oil on canvas
53124,Still Life with a White Mug,c. 1764,oil on canvas
53131,Dryad,1935,oil on canvas
53533,Woman with Tambourine (La femme au tambourin),1938,etching and aquatint
53534,"Oceania, the Sky",1946,screenprint stencil on linen damask
53535,"Oceania, the Sea",1946,screenprint stencil on linen damask
53810,The Wolf and the Monkeys,probably c. 1645/1656,etching
53811,Reynard Blinds the Wolf in One Eye,probably c. 1645/1656,etching
53812,The Triumph of Reynard,probably c. 1645/1656,etching
54183,Mound,1961,oil on canvas
54185,Engraved Clock Dial - Ornaments and Birds [recto],,engraved copper plate
54884,Untitled,,lithograph
55405,Burns Creek,,engraving
55562,Fear,1971,color etching
55563,Trash,1971,etching
55564,Expanding Force,1974,color woodcut
55579,Girl Carrying a Basket,1882,watercolor over graphite on wove paper
55581,Hauling in the Nets,1887,watercolor over graphite on wove paper
55594,Vase of Flowers,,color woodcut
55589,The Rise,1900,watercolor over graphite on wove paper
56095,"March 3rd, 1965",1965,brush and black ink
56096,"Drawings for Dante's 700 Birthday, I.B.",1965,watercolor and gouache with screenprint on Strathmore illustration board
56099,George Washington,18th century,"embroidery: silk, spun silver, and silver-gilt thread and silver and silver-gilt wire on linen, with red cotton moiré ribbon"
56184,Sixpac,1976,color collagraph
56227,Untitled,1970,screenprint
56345,Rhiannon,1954,wire and metal
56659,The Shell,1934,charcoal on laid paper
56660,Unlocked,1966,water-miscible acrylic on canvas
56818,"Genazzano, Abruzzi",1929,lithograph
56671,The Skeletons,published 1750/1759,"etching, engraving, drypoint, burnishing"
56723,A'Dilettanti delle Bell'Arti,1785,bound volume with engraved title page and 24 etching and engravings on laid paper
59127,Don Quixote,,lithograph
59679,O quam tristis et afflicta ...,,engraving
59913,Basket of Fruit with Parrot,1777,oil on canvas
60888,Star,1957,aquatint
61169,CAMERA OBSCURA,1959,mixed media
61170,La Ricordanza,1964,construction
61171,The Rape,1966,graphite on wove paper
61172,A Moment of Calm,1939,oil on canvas
61194,Concert royal des muses,1671,engraving
61238,Guitarist in an Armchair (Guitariste au fauteuil),1911-1912,etching on laid Arches paper
61239,Man with a Dog (L'homme au chien),1915,etching on laid paper [proof]
61240,Man with a Dog (L'homme au chien),"1915, reprinted in 1930",etching with scraping on wove paper
61237,Harpocrates,1593 (published after 1630),engraving
61270,Two Figures,,etching
61271,Les travaux d'Ulysse,published 1640,1 vol: ill: 58 etchings
61255,George Bernard Shaw,1934,bronze
61256,Apollo,c. 1580,pen and black ink on laid paper
61263,Sea Coast Scene,19th century,black chalk with gray wash heightened with white on green paper
61274,"Dryads, Old and Young",1963,color etching
61347,The Largest White Billed Woodpecker (Picus principalis),late 20th century,reproduction of hand-colored etching (Beehive Press)
61348,Woman Weighing Pearls,1922,wood engraving on japan paper
61372,New House in the Suburbs,1924,gouache on canvas
61367,Child in a Straw Hat,c. 1886,oil on canvas
61370,Landscape at Le Pouldu,1890,oil on canvas
61380,Blue,1970,oil on canvas
61375,The Cradle - Camille with the Artist's Son Jean,1867,oil on canvas
61386,Drink to the Chimera,1947,oil on canvas
62638,Martha Eliza Stevens Edgar Paschall,c. 1823,oil on canvas
62642,Michel Baron,1732,engraving on laid paper
62643,Louis XV,1737,engraving
65861,Dancer and Male Audience,1922,graphite on wove paper
65892,Europa,c. 1500/1525,gilded bronze
65893,Sacrifice to Priapus,1542,etching in brown on laid paper
65894,Mars and Venus,c. 1509/1516,engraving
66250,Rubens Peale with a Geranium,1801,oil on canvas
66380,Villa Panfili,1776,etching on laid paper
66403,The Garden Table,1952,oil on canvas
66400,Edmond Maître,1869,oil on canvas
66402,The Trawlers,1885,oil on wood
66408,Calm Sea,1866,oil on canvas
66438,"The Pont Saint-Michel, Paris",c. 1908,oil on wood
66416,The Race Track,c. 1891,gouache on canvas
66423,Pianist and Checker Players,1924,oil on canvas
66420,Autumn,1877,oil on canvas
66421,View on the Outskirts of Caen,1872/1875,oil on wood
66442,1969 (Holkham Sands No. 1),1969,oil on carved board
67531,Untitled,1970,acrylic on canvas
67494,No. 10,1948,oil on canvas
67499,Untitled,1957,oil on canvas
67502,No. 7 [or] No. 11,1949,oil on canvas
67504,Untitled,"1958, reworked 1964/1965","oil, acrylic and mixed media on canvas"
67509,No. 1,1961,pigmented hide glue and oil on canvas
67511,Untitled,1956,pigmented hide glue and oil on canvas
69393,The Harbor of St. Malo at Low Tide,c. 1850,watercolor with gouache over graphite on wove paper
71066,Mision de Santa Cruz,,lithograph on wove paper
71234,Crosshatch and Mutation,1986,color monoprint on Arches Cover wove paper with adhered lithographs on Arches 88 wove paper
71341,Flowers Fight,1987/1989,"basswood heliorelief, acrylic paint, gum plywood, and gold leaf"
71342,"Jerusalem, Kidron Valley",1989,color heliorelief woodcut with roulette on two sheets of joined Rives BFK wove paper
71371,Wall,1968,painted aluminum
71362,Landscape and River with Anchored Vessels,1638,etching on laid paper
71363,Landscape with Resting Herdsmen,1638,etching and engraving on laid paper
71501,Two Men Contemplating a Bust of a Woman's Head,1931,graphite on wove paper
71502,Six Circus Horses with Riders,1905,pen and black ink on wove paper; laid down on cardboard
71551,Persische Nachtigallen (Persian Nightingales),1917,"gouache, watercolor, and pen and black ink over graphite on laid paper, mounted on cardboard; the sheet bordered at the top with yellow paper strip mounted to support"
72007,Paulus Pontius,probably 1626/1641,engraving on laid paper
72129,Le Pays Inconnu (The Unknown Country),in or before 1869,etching in black on laid paper (facing _Le Pays Inconnu_ by Arsene Houssaye)
72130,La Fontaine (The Fountain),1868,etching in black on laid paper (facing _La Fontaine_ by Georges Lafenestre)
72627,"Sketch for ""Building - Blocks for a Doorway"" (Doorway)",c. 1983/1985,ballpoint pen on graph paper
72867,A Young Woman with Long Hair,1899,woodcut on wove paper
72866,Allegory of Africa,"model 1863/1865, cast date unknown",bronze
73837,Der Zee-Vaert Lof,published 1634,1 vol: ill: 17 etchings by Willem Basse (Holl. 49-65) and 1 etching by Rembrandt (White/Boon 111)
73836,The Triumph of Caesar: The Senators,before 1506,engraving in black on laid paper
74786,Untitled [verso],1969,black felt-tip pen and graphite on blue laid paper
74795,Albert Einstein,1922,lithograph on wove paper
74985,Two Angels Carrying Torches,c. 1501,"pen and brown ink and brown wash on laid paper, pricked for transfer"
75047,"The Erpingham Gate, Norwich",1791,"pen and black ink, gray wash, and watercolor on laid paper"
75156,S.M.S. (February 1968),1968,portfolio of mixed media art objects
79527,"Oh Helen, I roam my room",published 1973,screenprint on Neobond synthetic paper
79528,She'll have forgotten her scarf,published 1973,screenprint on Neobond synthetic paper
79530,8 Eaux-Fortes Gravées sur Nature,published 1849,portfolio of 8 etchings on chine collé
80415,Revolt on the Amistad,1989,color screenprint on wove paper
81396,Le Secret d'Architecture,published 1642,1 vol: ill:
81497,[Le Grand Marot],published c. 1670?,1 vol: ill:
82649,Italian Coast Scene with Ruined Tower,1838,oil on canvas
83009,Taos Canyon,1929,watercolor and graphite on wove paper
88576,Allen Ginsberg and Peter Orlovsky--Kansas City 8,1966,contact sheet
88577,Allen Ginsberg and Peter Orlovsky--Kansas City 9,1966,contact sheet
88578,Allen Ginsberg and Peter Orlovsky--Kansas City 10,1966,contact sheet
89677,"Rue Terre Neuve, Meudon",probably late 1910s to early 1920s,oil on canvas
91019,Spine/Fern,1993,color monotype on Rives BFK paper
91215,Letters to Earth V,1990-1991,"hard-ground etching, soft-ground etching, and drypoint in blue on Somerset Satin paper"
91216,Letters to Earth VI,1990-1991,"hard-ground etching, soft-ground etching, drypoint, and aquatint in green on Somerset Satin paper"
91217,Letters to Earth VII,1990-1991,"soft-ground etching, sugar-lift, and aquatint in blue on Somerset Satin paper"
93042,Page from a Gradual [recto],1489,"brush and brown, red, blue, and purple inks on vellum"
93043,Page from a Gradual [verso],1489,brush and brown and red inks on vellum
94626,Fabriques à Tivoli (Buildings at Tivoli),1828,crayon lithograph on wove paper
95460,The Seasons,1797,"bound volume with letterpress text and illustrated with 21 color stipple engravings inked à la poupée after Hamilton, including 7 full page (versos blank; 5 by Tomkins, 2 by Bartolozzi), 5 headpieces (3 by Tomkins, 2 by Bartolozzi), 5 tailpieces (3 by Tomkins, 2 by Bartolozzi), and 5vignettes (by Tomkins)"
95463,Ex-Libris: Camille Aboussouan,c. 1955,engraving in black on thin wove paper pasted in volume
96645,Cupid Looking in a Mirror,,engraving and etching on laid paper
96646,Three Flying Putti,,engraving and etching on laid paper; laid down
96647,Three Flying Putti,,engraving and etching on laid paper
96652,Young Man Playing the Hurdy-Gurdy,,mezzotint on blue laid paper
96670,Aurora,1992-1993,steel
96663,Pan and Syrinx,mid 16th century,bronze
96688,The Miraculous Draught of Fishes,1545,oil on canvas
97608,"Study for ""Hell""",1903-1916,charcoal and graphite on laid paper
101721,Odes,published 1960,color screenprint on handmade Hahnemühle paper
102517,Large Mouth Bass Dezaster,1982,silver dye bleach print
102717,Virgin and Child in the Clouds,1641,etching and drypoint on laid paper
103046,Or,1973,"oil, graphite, colored pencil, and rabbit-skin glue on canvas"
102986,Gondolas,,pen and brown ink with brown wash on laid paper; laid down
102987,Still Life with Artichokes and a Parrot,17th century,oil on canvas
103105,Allegorical Figure with a Cat and a Pig,c. 1530,pen and brown ink over traces of black chalk on laid paper
103362,Classically Draped Bust of a Man,16th century,bronze
103440,20 Foot Ladder for any Size Wall,1979,eight photo-etchings on Rives BFK White paper
103567,Yuma 7 1949,1949,gelatin silver print
103779,"Boy Scouts and Fremont's Pyramid, Pyramid Lake Indian Reservation, Nevada","1991, printed 1997",chromogenic print
103781,"White Man Contemplating Pyramids, Egypt","1989, printed 1996",chromogenic print
104211,Etude pour un portrait,1895,woodcut in black on heavy laid paper
104212,Le solitaire,1895,lithograph in brown-black on heavy japan paper
104213,Le solitaire,1895,lithograph in black on wove paper
104215,Promenade,1895,woodcut in green-gray on china paper
106380,The Beach at Sainte-Adresse,1906,oil on canvas
106381,Saida,1913 or 1920,oil on canvas
106386,Program Design for the Théâtre Libre [recto],c. 1890,watercolor over graphite on wove paper
106387,Program Design for the Théâtre Libre [verso],c. 1890,watercolor over graphite on wove paper
109999,Reclining Woman on Yellow Background,1982,color lithograph on wove paper
110282,Asian Elephant Walking,model c. 1830s,bronze
110284,Reclining Tunisian Panther,model 1840,bronze
110285,Pointer Standing over a Pheasant,19th-early 20th century,bronze
110286,Pointer,19th century,bronze
110287,Walking Ostrich,model 19th century,bronze
110288,Setter (setting right),model c. 1840/1845,bronze
110289,Pointer,model c. 1860s,bronze
110290,A Saddled Racehorse,model c. 1860s,bronze
111185,Caucus,1997,color offset lithograph on Arches wove paper
111186,The Flame Still Dances on Leo's Book,1997,color lithograph on Arches Cover wove paper
112234,Untitled,1994,graphite and colored pencil on photo-sensitive paper
113654,"Lithographs, Volume 11",,book of lithographs
114510,"Lithographs, Volume 16",,book of lithographs
119040,"Santo Domingo, Dominican Republic",1993,gelatin silver print
119210,Le Molé,1971,"polyester resin, aluminum, and silicon oxide"
119575,Still Life,,watercolor and graphite on paper
121227,Additive System of Horizontals and Verticals in a Square,1970,4 screenprints
124478,Fantasy of Perspectival Forms Set among Ruins,1567,woodcut on laid paper
124517,An Ancient Tree with Figures in a Landscape,c. 1835,graphite on wove paper
125291,Moonlight in the Harbor at Dieppe,c. 1885,color etching and aquatint on laid paper
129853,Treasurer,1587,engraving on laid paper
130833,Komischer Reiter (Comic Rider),1921,"pen and ink on laid paper, laid down on mount"
131010,"28' Diameter, 14' at bottom - 4.8"" at top",,graphite on wove paper
131140,"Victoria, 1819-1901, Queen of England 1837 [obverse]",1886,bronze
131951,Mask,1985,color woodcut with hand-painting on Barrier wove paper
131952,Vincent,1983,woodcut in orange on wove paper
131948,Absalom Orders the Murder of Amnon at a Feast in His Palace,1760s,pen and gray ink with gray wash and white heightening on two joined sheets of blue laid paper
132263,Objectivity,1962,oil on canvas
133616,Over Brook,c. 1900,graphite on wove paper
133480,Primeval Forests,1937-1938,gelatin silver print
133608,Philadelphia Street Scenes [recto],,graphite on wove paper
134220,Willem van der Borcht,1650s,etching on laid paper
134531,The Brooch (Eva Mudocci),1903,lithograph in black on paper
134532,Man and Woman,1913,drypoint in black on wove paper
136013,Still Life,c. 1925/1935,oil on canvas
136014,Three Pears,1878/1879,oil on canvas
139453,Heartfields,1977,gelatin silver print
142020,Troisieme livre de formes Cartels et Rocailles,1736,set of seven etchings with engraving on laid paper
141991,Un Miracle (A Miracle),1874,etching with aquatint on japan paper
141993,Augustus Hertzog zu Sachsen,1564,woodcut on laid paper
144084,Building a Kiva,c. 1935,color woodcut on wove paper
144272,An Evening Landscape with a Hay Wagon,,"graphite with touches of pen and black ink, heightened with white gouache on wove paper"
144273,An Evening Landscape with Tall Trees,,graphite with touches of pen and brown ink on wove paper
144275,A Landscape with a Great Tree,,etching
144443,The Laundry (La Lessive),1888,woodcut
144508,Untitled [seated female nude looking left] [verso],1955-1967,lithographic crayon on calendered paper
144869,"Ravenel Doorway, Charleston",c. 1945,etching
145180,Masse Shot,1940,lithograph
145396,Stop 8,c. 1930,lithograph
145687,Cells,c. 1945,etching and soft-ground
146009,Untitled (Man Felling Tree),1915,linocut
146723,Lackawanna Ferry,1947,etching and aquatint
146947,Homage,,lithograph
147004,The Woodstock Bus,1921,lithograph
147136,Anthracite Mine,,lithograph
148835,Railroad Motifs,1949,screenprint
149344,Seamstress,c. 1940,screenprint
149405,Dunes,1944,screenprint
150753,Head and Hand of a Man Throwing Dice,early 1860s,black chalk heightened with white on blue-gray paper
150766,A Reliquary of Saint Sigismondo,1719,pen and brown ink over black chalk on laid paper
152280,DODDOACID,2007,oil on linen
152810,Untitled,1965,color relief etching
152802,"St. Sebastian, Bound to a Tree",c. 1589,etching on laid paper
153593,Metropolis,1922,portfolio of nine lithographs
154216,PAFF,1997,polyamide fabric and cloves
154217,Oscar Wilde,1999,gelatin silver print
154233,The Abduction of Europa,1716,oil on canvas
154661,God the Father with Angels,17th century,pen and brown ink with brown wash
155117,Untitled (TV Static),1982,pen and black ink on wove paper
157623,Rose for Direct Democracy,1973,graduated glass cylinder with incised writing
157922,Gathering Autumn Flowers,1894/1895,oil on canvas
158570,Piano Scuro,2003,oil on linen
158951,Circulation [proof],2005,etching with handworked embellishments in ink
161115,Eninka,1986,burned and smoked wove paper
163798,Coronation of the Virgin [28-29],1844,graphite on wove paper
163802,Preliminary Sketch of a Landscape [34],1844,graphite on wove paper
163318,Untitled,1989,"color aquatint, etching and embossing on wove paper"
163811,S. Onofrio in Rome [51],1844,graphite on wove paper
165096,Virgin and Child,,etching on laid paper
164910,Vase with Flowers,1920,oil on canvas
164912,Still Life,c. 1918,"watercolor, gouache, graphite, and black chalk on laid paper"
164911,Conversation on the Beach,1865,watercolor and graphite on buff paper
164922,Two Seated Basset Hounds,model 1853,bronze
165231,Portrait of a Man and a Woman,c. 1850,2 daguerreotypes with applied color in a brass locket
165232,"Portraits of Three Women, Two Men and Three Children",c. 1850,4 daguerreotypes with applied color in a brass locket
165302,"Sculpteur devant sa sculpture, avec jeune fille au turban et tête sculptée (Sculptor before His Sculpture with a Young Woman Wearing a Headdress, and a Sculpted Head)",1931,etching
